subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;861;2.354834161000241e-08;0.00010582010911648158;3.488139915797106e-09;7.905927775396966e-05
Ubiquinone synthesis;7;0.5670364237493938;0.005771399420856974;0.5932753957963268;0.006087891427356072
Propanoate metabolism;15;0.10090019671703342;0.05033732603188265;0.11129727800120517;0.05467004522400432
Starch and sucrose metabolism;10;0.5079402042999643;0.2187777326044611;0.5373686627562138;0.22160314797667607
Sphingolipid metabolism;34;0.999999994768127;0.24126945900488525;0.9999999966215771;0.2589019100384835
Fatty acid oxidation;328;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Glycerophospholipid metabolism;55;0.999999994768127;0.00010582010911648158;0.9999999966215771;4.6102170412757026e-05
Oxidative phosphorylation;9;0.02820879849664898;0.7927429769284855;0.03303852759397848;0.8139764466261123
Tyrosine metabolism;17;0.999999994768127;0.2575489945280729;0.9999999966215771;0.2662607101414637
Fatty acid biosynthesis;50;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Cholesterol metabolism;38;0.999999994768127;0.6299333050300492;0.9999999966215771;0.6766339841023774
Heme synthesis;3;0.999999994768127;0.0;0.9999999966215771;0.0
Pentose phosphate pathway;23;0.008964724099212576;0.9999999976477337;0.0029935619399408596;0.999999998526811
Acylglycerides metabolism;13;0.999999994768127;0.7927429769284855;0.9999999966215771;0.8139764466261123
Pool reactions;12;0.999999994768127;0.37454961221545835;0.9999999966215771;0.39125907583759706
Acyl-CoA hydrolysis;61;0.008964724099212576;0.05186078616471858;0.0022085870077569827;0.06338553322438781
Fatty acid activation (cytosolic);60;0.015255898944486396;0.04793002892902299;0.008721008546349412;0.031107894366401767
Glycerolipid metabolism;66;4.141254728029509e-09;0.04055955793139142;2.033947824979047e-09;0.04792844162445554
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;38;0.17815887337188738;0.9618173617872454;0.20535414059265739;0.9634834601916675
Exchange/demand reactions;161;0.027852756643553495;0.4480622684876084;0.039909259595142535;0.34059740625562585
Artificial reactions;7;0.999999994768127;0.0002600377718806271;0.9999999966215771;0.0003001185302518028
Steroid metabolism;14;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Arachidonic acid metabolism;71;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Leukotriene metabolism;78;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Butanoate metabolism;5;0.999999994768127;0.053192820749146476;0.9999999966215771;0.05996602696483851
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.999999994768127;0.0;0.9999999966215771;0.0
Cholesterol biosynthesis 2;5;0.999999994768127;0.0;0.9999999966215771;0.0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Pyruvate metabolism;22;0.05141872478982637;0.06663250002068533;0.05709067993307921;0.07697281479210713
Bile acid biosynthesis;30;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Androgen metabolism;9;0.999999994768127;0.03800921961128502;0.9999999966215771;0.03812310123717841
Vitamin D metabolism;18;0.999999994768127;3.256054156456198e-11;0.9999999966215771;8.39705448031834e-11
Fatty acid biosynthesis (even-chain);30;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Fatty acid elongation (even-chain);21;0.999999994768127;0.9622362180020556;0.9999999966215771;0.9634834601916675
Fatty acid biosynthesis (odd-chain);30;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Fatty acid elongation (odd-chain);13;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
Fatty acid desaturation (even-chain);13;0.999999994768127;0.9999999976477337;0.9999999966215771;0.999999998526811
